label,night_avg,total_avg,gaming_ratio,social_ratio,weekend_ratio
Sosyal Medya Tutkunu,22.90,165.31,0.214,0.509,0.946
Sosyal Medya Tutkunu,14.49,221.56,0.225,0.541,1.013
Sosyal Medya Tutkunu,31.32,146.65,0.153,0.580,1.050
Sosyal Medya Tutkunu,31.60,159.71,0.201,0.527,0.925
Sosyal Medya Tutkunu,11.25,129.39,0.191,0.598,1.131
Sosyal Medya Tutkunu,21.71,148.42,0.099,0.503,1.056
Sosyal Medya Tutkunu,30.88,155.61,0.188,0.569,1.003
Sosyal Medya Tutkunu,21.13,116.69,0.098,0.602,1.059
Sosyal Medya Tutkunu,31.21,108.30,0.220,0.423,1.030
Sosyal Medya Tutkunu,24.94,171.55,0.179,0.496,1.009
Sosyal Medya Tutkunu,37.08,176.22,0.243,0.531,1.029
Sosyal Medya Tutkunu,20.17,166.00,0.174,0.514,1.031
Sosyal Medya Tutkunu,21.54,169.05,0.223,0.591,1.056
Sosyal Medya Tutkunu,24.29,144.69,0.173,0.486,0.938
Sosyal Medya Tutkunu,22.45,160.74,0.198,0.500,0.949
Sosyal Medya Tutkunu,22.09,206.55,0.197,0.636,0.946
Sosyal Medya Tutkunu,24.19,166.79,0.145,0.521,1.086
Sosyal Medya Tutkunu,25.34,145.94,0.250,0.353,1.091
Sosyal Medya Tutkunu,31.53,196.29,0.163,0.567,0.940
Sosyal Medya Tutkunu,30.95,141.70,0.098,0.566,1.085
Sosyal Medya Tutkunu,21.78,219.06,0.101,0.646,1.051
Sosyal Medya Tutkunu,18.12,155.90,0.210,0.633,1.116
Sosyal Medya Tutkunu,29.24,113.41,0.248,0.508,0.967
Sosyal Medya Tutkunu,22.59,147.94,0.181,0.544,0.999
Sosyal Medya Tutkunu,31.76,200.88,0.137,0.651,1.102
Sosyal Medya Tutkunu,27.26,204.55,0.155,0.500,0.934
Sosyal Medya Tutkunu,24.09,197.04,0.179,0.629,1.012
Sosyal Medya Tutkunu,34.19,113.96,0.236,0.610,0.883
Sosyal Medya Tutkunu,24.32,132.88,0.162,0.542,1.109
Sosyal Medya Tutkunu,10.14,138.92,0.170,0.441,1.034
Sosyal Medya Tutkunu,28.09,190.42,0.162,0.490,1.124
Sosyal Medya Tutkunu,28.15,128.37,0.152,0.554,0.928
Sosyal Medya Tutkunu,26.44,139.58,0.130,0.693,0.921
Sosyal Medya Tutkunu,27.47,156.10,0.150,0.579,1.096
Sosyal Medya Tutkunu,28.28,187.33,0.193,0.501,1.022
Sosyal Medya Tutkunu,27.18,175.62,0.218,0.672,1.045
Sosyal Medya Tutkunu,26.61,202.68,0.118,0.492,1.019
Sosyal Medya Tutkunu,29.51,143.99,0.186,0.505,0.948
Sosyal Medya Tutkunu,25.84,122.33,0.192,0.531,1.030
Sosyal Medya Tutkunu,21.39,160.97,0.135,0.511,1.050
Sosyal Medya Tutkunu,25.23,176.90,0.193,0.587,1.083
Sosyal Medya Tutkunu,21.86,177.92,0.207,0.600,1.053
Sosyal Medya Tutkunu,23.22,131.05,0.274,0.595,1.059
Sosyal Medya Tutkunu,28.39,202.08,0.110,0.624,0.954
Sosyal Medya Tutkunu,24.46,154.79,0.131,0.472,1.036
Sosyal Medya Tutkunu,30.87,193.04,0.162,0.628,0.953
Sosyal Medya Tutkunu,34.32,113.40,0.238,0.543,1.039
Sosyal Medya Tutkunu,40.57,147.97,0.180,0.544,1.141
Sosyal Medya Tutkunu,23.55,186.47,0.184,0.451,1.048
Sosyal Medya Tutkunu,26.79,171.69,0.163,0.423,1.001
Sosyal Medya Tutkunu,24.64,236.57,0.223,0.685,1.094
Sosyal Medya Tutkunu,29.53,171.14,0.088,0.716,0.972
Sosyal Medya Tutkunu,31.38,148.82,0.131,0.622,0.922
Sosyal Medya Tutkunu,31.11,137.23,0.158,0.540,1.161
Sosyal Medya Tutkunu,32.01,210.25,0.170,0.394,0.916
Sosyal Medya Tutkunu,26.95,167.86,0.256,0.565,1.104
Sosyal Medya Tutkunu,20.90,161.08,0.196,0.626,1.127
Sosyal Medya Tutkunu,29.44,177.92,0.200,0.666,1.018
Sosyal Medya Tutkunu,12.41,148.05,0.146,0.527,1.038
Sosyal Medya Tutkunu,18.14,187.67,0.180,0.506,0.930
Sosyal Medya Tutkunu,20.74,164.59,0.164,0.518,0.901
Sosyal Medya Tutkunu,33.97,178.22,0.143,0.596,0.968
Sosyal Medya Tutkunu,21.59,182.29,0.192,0.566,0.905
Sosyal Medya Tutkunu,33.39,141.26,0.165,0.611,1.093
Sosyal Medya Tutkunu,24.44,173.34,0.162,0.631,0.912
Sosyal Medya Tutkunu,27.76,189.91,0.205,0.599,1.030
Sosyal Medya Tutkunu,24.43,198.77,0.241,0.565,0.932
Sosyal Medya Tutkunu,27.60,143.64,0.108,0.562,1.074
Sosyal Medya Tutkunu,25.46,157.01,0.187,0.544,0.991
Sosyal Medya Tutkunu,23.69,180.58,0.235,0.442,0.976
Sosyal Medya Tutkunu,25.83,195.40,0.219,0.649,1.011
Sosyal Medya Tutkunu,26.14,122.93,0.108,0.517,1.014
Sosyal Medya Tutkunu,28.01,177.33,0.139,0.614,0.948
Sosyal Medya Tutkunu,27.34,150.61,0.215,0.403,1.115
Sosyal Medya Tutkunu,33.35,192.36,0.270,0.605,1.060
Sosyal Medya Tutkunu,25.68,131.21,0.148,0.447,0.866
Sosyal Medya Tutkunu,20.97,175.56,0.177,0.537,1.088
Sosyal Medya Tutkunu,32.61,220.31,0.236,0.457,1.081
Sosyal Medya Tutkunu,31.06,154.89,0.229,0.541,0.927
Sosyal Medya Tutkunu,30.18,145.41,0.301,0.437,1.124
Sosyal Medya Tutkunu,33.10,193.21,0.143,0.533,1.133
Sosyal Medya Tutkunu,25.01,123.45,0.116,0.418,1.055
Sosyal Medya Tutkunu,26.35,183.71,0.127,0.550,1.001
Sosyal Medya Tutkunu,26.48,168.54,0.228,0.632,0.973
Sosyal Medya Tutkunu,34.63,161.35,0.292,0.595,1.117
Sosyal Medya Tutkunu,26.13,172.29,0.064,0.512,0.922
Sosyal Medya Tutkunu,32.11,141.22,0.152,0.603,1.131
Sosyal Medya Tutkunu,18.97,198.04,0.111,0.579,0.984
Sosyal Medya Tutkunu,22.27,159.13,0.223,0.432,0.974
Sosyal Medya Tutkunu,31.84,164.96,0.200,0.577,0.968
Sosyal Medya Tutkunu,36.19,156.37,0.184,0.765,1.104
Sosyal Medya Tutkunu,29.03,161.75,0.268,0.681,1.069
Sosyal Medya Tutkunu,25.15,141.99,0.197,0.670,0.992
Sosyal Medya Tutkunu,17.98,164.21,0.151,0.385,1.098
Sosyal Medya Tutkunu,27.14,233.05,0.246,0.576,0.886
Sosyal Medya Tutkunu,18.53,159.26,0.148,0.626,0.914
Sosyal Medya Tutkunu,30.17,175.82,0.207,0.559,1.103
Sosyal Medya Tutkunu,29.60,167.75,0.198,0.557,1.094
Sosyal Medya Tutkunu,24.92,136.01,0.234,0.458,0.972
Sosyal Medya Tutkunu,20.63,146.02,0.170,0.551,1.110
Sosyal Medya Tutkunu,24.52,175.10,0.070,0.685,0.910
Sosyal Medya Tutkunu,23.21,172.05,0.249,0.459,1.068
Sosyal Medya Tutkunu,38.14,175.36,0.121,0.638,1.014
Sosyal Medya Tutkunu,22.58,169.04,0.145,0.505,1.021
Sosyal Medya Tutkunu,33.64,179.56,0.145,0.501,0.937
Sosyal Medya Tutkunu,36.16,153.09,0.191,0.463,0.910
Sosyal Medya Tutkunu,15.56,203.74,0.190,0.487,1.063
Sosyal Medya Tutkunu,17.79,182.51,0.245,0.596,1.177
Sosyal Medya Tutkunu,31.72,183.02,0.162,0.544,1.123
Sosyal Medya Tutkunu,22.58,158.29,0.258,0.559,0.971
Sosyal Medya Tutkunu,21.78,155.77,0.185,0.337,0.945
Sosyal Medya Tutkunu,32.24,182.31,0.126,0.537,0.945
Sosyal Medya Tutkunu,28.81,157.36,0.194,0.507,1.003
Sosyal Medya Tutkunu,33.42,148.73,0.204,0.693,1.030
Sosyal Medya Tutkunu,23.61,143.71,0.156,0.537,0.968
Sosyal Medya Tutkunu,31.60,165.79,0.260,0.415,1.040
Sosyal Medya Tutkunu,26.08,159.43,0.185,0.385,0.957
Sosyal Medya Tutkunu,22.61,167.67,0.124,0.574,1.027
Sosyal Medya Tutkunu,28.06,173.97,0.197,0.596,1.084
Sosyal Medya Tutkunu,28.34,181.10,0.223,0.556,0.994
Sosyal Medya Tutkunu,25.92,230.19,0.108,0.615,1.066
Sosyal Medya Tutkunu,30.64,139.38,0.215,0.595,1.088
Sosyal Medya Tutkunu,27.82,110.60,0.183,0.599,1.012
Sosyal Medya Tutkunu,31.12,177.14,0.178,0.517,0.896
Sosyal Medya Tutkunu,26.55,213.44,0.114,0.619,0.881
Sosyal Medya Tutkunu,30.55,181.43,0.132,0.585,0.945
Sosyal Medya Tutkunu,24.45,164.62,0.257,0.641,0.924
Sosyal Medya Tutkunu,29.68,146.10,0.172,0.565,0.962
Sosyal Medya Tutkunu,28.59,182.48,0.233,0.475,0.983
Sosyal Medya Tutkunu,27.13,150.85,0.140,0.520,1.084
Sosyal Medya Tutkunu,30.97,162.19,0.199,0.647,1.004
Sosyal Medya Tutkunu,17.63,195.08,0.257,0.700,0.992
Sosyal Medya Tutkunu,32.78,173.01,0.211,0.595,1.031
Sosyal Medya Tutkunu,22.59,198.23,0.202,0.620,0.990
Sosyal Medya Tutkunu,19.64,168.66,0.157,0.532,1.116
Sosyal Medya Tutkunu,23.94,182.97,0.140,0.692,1.031
Sosyal Medya Tutkunu,27.56,186.30,0.174,0.581,0.987
Sosyal Medya Tutkunu,25.25,180.31,0.206,0.613,1.089
Sosyal Medya Tutkunu,24.18,202.67,0.070,0.554,1.007
Sosyal Medya Tutkunu,21.74,183.72,0.197,0.389,0.836
Sosyal Medya Tutkunu,14.20,156.65,0.224,0.581,1.053
Sosyal Medya Tutkunu,26.83,191.48,0.275,0.400,1.158
Sosyal Medya Tutkunu,34.78,146.11,0.171,0.637,1.091
Sosyal Medya Tutkunu,27.06,188.84,0.248,0.632,0.959
Sosyal Medya Tutkunu,32.63,197.57,0.136,0.449,1.003
Sosyal Medya Tutkunu,27.67,192.57,0.169,0.536,1.021
Sosyal Medya Tutkunu,33.00,185.80,0.169,0.519,1.115
Sosyal Medya Tutkunu,29.96,192.74,0.111,0.486,1.073
Sosyal Medya Tutkunu,33.47,183.23,0.174,0.552,1.133
Sosyal Medya Tutkunu,28.92,155.02,0.101,0.615,0.902
Sosyal Medya Tutkunu,21.64,142.76,0.139,0.643,0.952
Sosyal Medya Tutkunu,20.72,189.71,0.179,0.521,0.921
Sosyal Medya Tutkunu,26.10,166.23,0.334,0.694,1.012
Sosyal Medya Tutkunu,35.22,145.58,0.171,0.530,0.810
Sosyal Medya Tutkunu,24.98,159.29,0.127,0.363,1.015
Sosyal Medya Tutkunu,20.59,177.34,0.213,0.648,1.045
Sosyal Medya Tutkunu,20.59,196.45,0.188,0.490,0.977
Sosyal Medya Tutkunu,36.95,187.25,0.112,0.734,1.189
Sosyal Medya Tutkunu,24.44,184.83,0.194,0.487,1.022
Sosyal Medya Tutkunu,25.26,143.16,0.202,0.686,1.118
Sosyal Medya Tutkunu,21.58,149.16,0.223,0.618,0.959
Sosyal Medya Tutkunu,24.02,166.67,0.153,0.514,1.039
Sosyal Medya Tutkunu,31.36,219.22,0.152,0.634,1.047
Sosyal Medya Tutkunu,23.28,172.30,0.162,0.769,1.162
Sosyal Medya Tutkunu,20.97,121.14,0.154,0.718,1.073
Sosyal Medya Tutkunu,33.88,170.25,0.187,0.554,1.138
Sosyal Medya Tutkunu,20.40,173.34,0.130,0.580,1.064
Sosyal Medya Tutkunu,25.17,161.66,0.187,0.598,1.082
Sosyal Medya Tutkunu,30.81,215.48,0.201,0.570,1.040
Sosyal Medya Tutkunu,30.28,158.39,0.157,0.521,1.066
Sosyal Medya Tutkunu,24.47,203.90,0.178,0.493,0.985
Sosyal Medya Tutkunu,20.56,169.76,0.239,0.536,0.949
Sosyal Medya Tutkunu,21.79,187.14,0.237,0.664,1.095
Sosyal Medya Tutkunu,25.97,189.66,0.178,0.620,1.038
Sosyal Medya Tutkunu,25.42,182.68,0.124,0.657,1.045
Sosyal Medya Tutkunu,21.99,173.90,0.208,0.613,1.061
Sosyal Medya Tutkunu,30.37,155.41,0.216,0.529,0.980
Sosyal Medya Tutkunu,25.84,208.80,0.197,0.624,0.968
Sosyal Medya Tutkunu,23.29,157.98,0.260,0.482,1.032
Sosyal Medya Tutkunu,34.51,158.55,0.122,0.659,1.046
Sosyal Medya Tutkunu,29.01,126.15,0.125,0.433,1.145
Sosyal Medya Tutkunu,27.69,174.79,0.187,0.545,0.980
Sosyal Medya Tutkunu,29.80,87.68,0.138,0.638,1.054
Sosyal Medya Tutkunu,32.35,116.63,0.215,0.446,1.007
Sosyal Medya Tutkunu,15.36,185.71,0.157,0.653,0.900
Sosyal Medya Tutkunu,21.34,154.26,0.117,0.655,1.029
Sosyal Medya Tutkunu,21.44,218.11,0.150,0.541,1.119
Sosyal Medya Tutkunu,29.71,184.83,0.185,0.388,0.803
Sosyal Medya Tutkunu,28.19,197.25,0.274,0.550,1.056
Sosyal Medya Tutkunu,25.45,165.95,0.200,0.647,1.015
Sosyal Medya Tutkunu,24.42,181.67,0.199,0.675,1.063
Sosyal Medya Tutkunu,30.96,144.43,0.134,0.569,1.032
Sosyal Medya Tutkunu,20.88,174.40,0.055,0.519,1.004
Sosyal Medya Tutkunu,37.02,183.33,0.282,0.524,1.017
Sosyal Medya Tutkunu,33.93,151.78,0.162,0.564,1.005
Sosyal Medya Tutkunu,16.66,205.22,0.150,0.263,1.007
Sosyal Medya Tutkunu,27.30,156.14,0.189,0.485,0.948
Sosyal Medya Tutkunu,26.45,161.96,0.247,0.489,0.999
Sosyal Medya Tutkunu,15.19,202.01,0.082,0.573,1.096
Sosyal Medya Tutkunu,26.81,163.27,0.178,0.571,0.967
Sosyal Medya Tutkunu,25.27,205.40,0.234,0.507,1.173
Sosyal Medya Tutkunu,15.34,129.88,0.171,0.560,0.964
Sosyal Medya Tutkunu,27.02,190.72,0.086,0.421,1.003
Sosyal Medya Tutkunu,19.68,190.59,0.236,0.685,1.033
Sosyal Medya Tutkunu,15.08,213.33,0.185,0.604,1.008
Sosyal Medya Tutkunu,28.42,140.26,0.127,0.545,1.060
Sosyal Medya Tutkunu,21.38,159.92,0.180,0.549,1.182
Sosyal Medya Tutkunu,28.71,162.19,0.023,0.540,1.005
Sosyal Medya Tutkunu,26.26,160.02,0.212,0.607,0.924
Sosyal Medya Tutkunu,21.53,199.27,0.127,0.576,1.101
Sosyal Medya Tutkunu,27.66,148.37,0.257,0.685,0.948
Sosyal Medya Tutkunu,21.55,132.90,0.107,0.479,1.012
Sosyal Medya Tutkunu,24.48,162.79,0.252,0.462,1.208
Sosyal Medya Tutkunu,28.79,131.17,0.178,0.720,1.073
Sosyal Medya Tutkunu,26.64,180.80,0.251,0.673,0.927
Sosyal Medya Tutkunu,20.88,153.00,0.251,0.566,1.076
Sosyal Medya Tutkunu,30.70,194.10,0.244,0.584,0.885
Sosyal Medya Tutkunu,33.34,187.53,0.157,0.541,1.017
Sosyal Medya Tutkunu,23.26,133.21,0.127,0.514,1.007
Sosyal Medya Tutkunu,29.08,173.74,0.159,0.521,0.968
Sosyal Medya Tutkunu,29.76,171.93,0.160,0.688,0.887
Sosyal Medya Tutkunu,28.29,194.74,0.193,0.487,0.952
Sosyal Medya Tutkunu,17.79,149.17,0.159,0.478,1.061
Sosyal Medya Tutkunu,20.14,146.38,0.234,0.612,1.002
Sosyal Medya Tutkunu,30.82,178.31,0.316,0.573,1.019
Sosyal Medya Tutkunu,23.29,177.89,0.202,0.749,0.941
Sosyal Medya Tutkunu,31.26,172.70,0.207,0.561,0.947
Sosyal Medya Tutkunu,21.84,198.70,0.153,0.514,0.934
Sosyal Medya Tutkunu,26.01,178.83,0.155,0.631,0.984
Sosyal Medya Tutkunu,27.33,178.82,0.280,0.465,1.012
Sosyal Medya Tutkunu,19.40,185.97,0.231,0.615,0.953
Sosyal Medya Tutkunu,29.75,179.23,0.276,0.452,0.952
Sosyal Medya Tutkunu,30.41,163.88,0.185,0.493,0.991
Sosyal Medya Tutkunu,30.32,175.95,0.094,0.395,1.010
Sosyal Medya Tutkunu,23.88,153.64,0.136,0.626,1.095
Sosyal Medya Tutkunu,31.84,174.85,0.166,0.547,0.991
Sosyal Medya Tutkunu,28.92,160.02,0.143,0.464,0.906
Sosyal Medya Tutkunu,24.18,178.31,0.170,0.509,0.997
Sosyal Medya Tutkunu,33.50,150.72,0.181,0.576,1.055
Sosyal Medya Tutkunu,19.25,193.71,0.191,0.449,0.837
Sosyal Medya Tutkunu,24.73,131.99,0.276,0.501,0.950
Sosyal Medya Tutkunu,22.61,162.83,0.101,0.502,1.123
Sosyal Medya Tutkunu,41.01,158.93,0.212,0.527,0.939
Sosyal Medya Tutkunu,28.34,150.25,0.257,0.557,1.017
Sosyal Medya Tutkunu,19.76,155.85,0.180,0.491,0.920
Sosyal Medya Tutkunu,33.87,164.34,0.162,0.519,1.126
Sosyal Medya Tutkunu,28.58,122.11,0.207,0.557,0.932
Sosyal Medya Tutkunu,32.11,201.80,0.125,0.512,1.202
Sosyal Medya Tutkunu,24.14,125.23,0.154,0.535,1.030
Sosyal Medya Tutkunu,21.61,161.50,0.151,0.530,1.115
Sosyal Medya Tutkunu,19.23,187.60,0.268,0.656,1.094
Sosyal Medya Tutkunu,28.93,158.89,0.196,0.433,1.124
Sosyal Medya Tutkunu,29.33,155.50,0.184,0.608,1.033
Sosyal Medya Tutkunu,35.86,162.18,0.192,0.491,1.044
Sosyal Medya Tutkunu,23.17,182.73,0.157,0.454,0.873
Sosyal Medya Tutkunu,22.32,191.50,0.148,0.588,0.924
Sosyal Medya Tutkunu,22.81,167.53,0.116,0.584,0.968
Sosyal Medya Tutkunu,13.99,168.21,0.213,0.734,0.963
Sosyal Medya Tutkunu,23.79,162.87,0.164,0.491,1.144
Sosyal Medya Tutkunu,31.08,136.40,0.154,0.441,1.121
Sosyal Medya Tutkunu,25.00,139.30,0.106,0.550,0.919
Sosyal Medya Tutkunu,33.05,219.15,0.151,0.701,1.066
Sosyal Medya Tutkunu,22.25,194.57,0.105,0.475,1.081
Sosyal Medya Tutkunu,23.99,160.43,0.117,0.524,1.052
Sosyal Medya Tutkunu,23.70,179.51,0.169,0.439,1.041
Sosyal Medya Tutkunu,22.21,181.11,0.176,0.499,1.039
Sosyal Medya Tutkunu,30.71,213.05,0.159,0.535,1.116
Sosyal Medya Tutkunu,29.87,154.78,0.220,0.594,0.985
Sosyal Medya Tutkunu,24.10,125.91,0.141,0.682,0.985
Sosyal Medya Tutkunu,29.76,171.42,0.197,0.483,1.063
Sosyal Medya Tutkunu,25.91,133.52,0.210,0.455,1.069
Sosyal Medya Tutkunu,28.50,143.13,0.222,0.709,1.095
Sosyal Medya Tutkunu,29.21,177.83,0.201,0.453,0.882
Sosyal Medya Tutkunu,29.54,185.35,0.174,0.501,1.012
Sosyal Medya Tutkunu,27.10,179.20,0.107,0.525,1.164
Sosyal Medya Tutkunu,24.78,181.11,0.131,0.517,1.000
Sosyal Medya Tutkunu,29.81,169.12,0.118,0.469,1.072
Sosyal Medya Tutkunu,26.09,206.84,0.148,0.570,0.991
Sosyal Medya Tutkunu,37.53,214.79,0.240,0.618,1.158
Sosyal Medya Tutkunu,26.23,194.40,0.135,0.537,1.136
Sosyal Medya Tutkunu,21.39,138.23,0.179,0.645,0.932
Sosyal Medya Tutkunu,24.73,191.97,0.233,0.548,0.966
Sosyal Medya Tutkunu,28.02,164.43,0.226,0.514,0.976
Sosyal Medya Tutkunu,41.60,201.66,0.100,0.600,1.044
Sosyal Medya Tutkunu,28.16,135.12,0.175,0.584,0.879
Sosyal Medya Tutkunu,19.71,153.25,0.233,0.782,0.967
Sosyal Medya Tutkunu,28.88,176.53,0.183,0.694,1.105
Sosyal Medya Tutkunu,18.18,169.73,0.183,0.491,1.136
Sosyal Medya Tutkunu,36.30,121.02,0.184,0.604,1.087
Sosyal Medya Tutkunu,30.84,227.77,0.184,0.517,0.978
Sosyal Medya Tutkunu,22.40,139.90,0.156,0.618,0.988
Sosyal Medya Tutkunu,21.77,165.38,0.146,0.642,1.029
Sosyal Medya Tutkunu,28.04,167.95,0.198,0.480,1.017
Sosyal Medya Tutkunu,24.92,113.91,0.229,0.522,0.888
Sosyal Medya Tutkunu,23.85,172.99,0.302,0.514,1.016
Sosyal Medya Tutkunu,34.96,172.12,0.141,0.642,1.096
Sosyal Medya Tutkunu,34.95,143.83,0.155,0.668,0.965
Sosyal Medya Tutkunu,30.39,198.80,0.194,0.637,1.122
Sosyal Medya Tutkunu,27.60,134.47,0.192,0.645,1.032
Sosyal Medya Tutkunu,38.40,197.59,0.150,0.470,1.157
Sosyal Medya Tutkunu,32.04,154.18,0.234,0.711,1.059
Sosyal Medya Tutkunu,30.26,168.32,0.126,0.550,1.121
Sosyal Medya Tutkunu,31.90,170.84,0.191,0.471,0.980
Sosyal Medya Tutkunu,19.30,148.60,0.197,0.607,0.988
Sosyal Medya Tutkunu,27.34,190.55,0.124,0.564,1.074
Sosyal Medya Tutkunu,17.42,185.38,0.099,0.523,0.997
Sosyal Medya Tutkunu,17.21,132.57,0.174,0.600,0.834
Sosyal Medya Tutkunu,34.66,179.08,0.128,0.536,0.908
Sosyal Medya Tutkunu,32.00,170.60,0.243,0.611,0.971
Sosyal Medya Tutkunu,35.93,181.92,0.174,0.490,1.179
Sosyal Medya Tutkunu,17.63,180.76,0.203,0.356,1.035
Sosyal Medya Tutkunu,35.41,152.63,0.229,0.621,1.048
Sosyal Medya Tutkunu,38.46,164.75,0.174,0.596,1.015
Sosyal Medya Tutkunu,26.47,153.63,0.184,0.439,1.007
Sosyal Medya Tutkunu,31.56,178.89,0.199,0.615,1.073
Sosyal Medya Tutkunu,28.25,142.50,0.242,0.620,1.092
Sosyal Medya Tutkunu,15.39,191.29,0.301,0.642,1.096
Sosyal Medya Tutkunu,19.30,147.79,0.157,0.592,1.105
Sosyal Medya Tutkunu,19.77,204.58,0.228,0.599,0.979
Sosyal Medya Tutkunu,24.08,125.63,0.150,0.482,0.957
Sosyal Medya Tutkunu,35.18,162.29,0.259,0.542,1.218
Sosyal Medya Tutkunu,25.61,193.45,0.169,0.643,1.069
Sosyal Medya Tutkunu,24.86,146.90,0.233,0.454,1.044
Sosyal Medya Tutkunu,19.66,157.77,0.174,0.453,1.005
Sosyal Medya Tutkunu,24.89,213.52,0.220,0.533,1.001
Sosyal Medya Tutkunu,20.27,186.69,0.071,0.517,1.143
Sosyal Medya Tutkunu,22.83,167.46,0.156,0.498,0.872
Sosyal Medya Tutkunu,24.89,169.07,0.189,0.642,1.043
Sosyal Medya Tutkunu,24.77,169.04,0.267,0.651,0.943
Sosyal Medya Tutkunu,38.09,188.17,0.121,0.520,1.016
Sosyal Medya Tutkunu,28.31,139.69,0.281,0.648,1.092
Sosyal Medya Tutkunu,23.82,156.54,0.199,0.627,1.051
Sosyal Medya Tutkunu,31.27,199.39,0.184,0.460,0.862
Sosyal Medya Tutkunu,22.87,124.60,0.240,0.530,1.058
Sosyal Medya Tutkunu,23.58,172.48,0.176,0.404,1.076
Sosyal Medya Tutkunu,29.57,152.65,0.090,0.491,0.837
Sosyal Medya Tutkunu,27.72,140.52,0.152,0.478,1.049
Sosyal Medya Tutkunu,29.13,168.18,0.240,0.543,1.094
Sosyal Medya Tutkunu,22.00,170.94,0.201,0.663,0.955
Sosyal Medya Tutkunu,18.30,159.71,0.099,0.502,1.204
Sosyal Medya Tutkunu,37.76,194.64,0.128,0.512,1.192
Sosyal Medya Tutkunu,20.32,139.80,0.300,0.588,0.946
Sosyal Medya Tutkunu,20.97,191.87,0.156,0.606,0.827
Sosyal Medya Tutkunu,30.32,212.93,0.208,0.543,1.069
Sosyal Medya Tutkunu,17.28,183.30,0.124,0.594,0.995
Sosyal Medya Tutkunu,22.68,154.01,0.235,0.468,1.038
Sosyal Medya Tutkunu,30.25,186.20,0.170,0.576,1.044
Sosyal Medya Tutkunu,27.65,180.21,0.142,0.538,0.870
Sosyal Medya Tutkunu,30.85,197.11,0.162,0.544,1.010
Sosyal Medya Tutkunu,32.29,177.43,0.103,0.545,1.056
Sosyal Medya Tutkunu,23.49,167.21,0.173,0.532,1.085
Sosyal Medya Tutkunu,26.71,169.19,0.189,0.516,0.950
Sosyal Medya Tutkunu,25.81,145.67,0.229,0.577,1.047
Sosyal Medya Tutkunu,31.00,207.37,0.228,0.632,0.832
Sosyal Medya Tutkunu,22.77,134.17,0.118,0.622,1.074
Sosyal Medya Tutkunu,23.16,209.40,0.195,0.402,1.082
Sosyal Medya Tutkunu,21.03,118.31,0.131,0.656,0.998
Sosyal Medya Tutkunu,34.35,134.11,0.167,0.585,1.119
Sosyal Medya Tutkunu,37.73,154.68,0.110,0.561,0.897
Sosyal Medya Tutkunu,33.29,154.79,0.205,0.585,1.093
Sosyal Medya Tutkunu,35.77,191.98,0.217,0.494,1.077
Sosyal Medya Tutkunu,25.14,147.18,0.150,0.420,1.024
Sosyal Medya Tutkunu,32.25,121.55,0.235,0.548,0.933
Sosyal Medya Tutkunu,32.18,145.18,0.159,0.551,1.008
Sosyal Medya Tutkunu,23.89,159.08,0.148,0.545,1.003
Sosyal Medya Tutkunu,20.33,182.02,0.269,0.741,1.187
Sosyal Medya Tutkunu,25.79,137.90,0.164,0.609,1.091
Sosyal Medya Tutkunu,28.41,191.84,0.261,0.535,1.078
Sosyal Medya Tutkunu,26.82,127.53,0.194,0.445,1.007
Sosyal Medya Tutkunu,19.82,180.31,0.175,0.520,1.063
Sosyal Medya Tutkunu,33.48,192.64,0.157,0.483,0.938
Sosyal Medya Tutkunu,29.60,167.52,0.092,0.522,0.925
Sosyal Medya Tutkunu,18.69,169.16,0.170,0.504,1.027
Sosyal Medya Tutkunu,18.08,143.99,0.141,0.585,1.071
Sosyal Medya Tutkunu,33.73,156.21,0.180,0.454,0.938
Sosyal Medya Tutkunu,25.68,167.84,0.185,0.550,1.015
Sosyal Medya Tutkunu,29.28,126.13,0.291,0.767,1.098
Sosyal Medya Tutkunu,45.05,125.16,0.116,0.650,1.026
Sosyal Medya Tutkunu,25.85,176.63,0.094,0.516,0.914
Sosyal Medya Tutkunu,15.79,120.98,0.174,0.460,1.026
Sosyal Medya Tutkunu,21.79,185.48,0.166,0.532,1.064
Sosyal Medya Tutkunu,20.86,196.47,0.200,0.420,1.068
Sosyal Medya Tutkunu,19.76,215.66,0.155,0.459,1.027
Sosyal Medya Tutkunu,23.22,118.23,0.162,0.514,1.058
Sosyal Medya Tutkunu,18.82,151.77,0.142,0.615,1.116
Sosyal Medya Tutkunu,25.31,201.74,0.211,0.508,0.999
Sosyal Medya Tutkunu,15.77,163.19,0.225,0.582,0.946
Sosyal Medya Tutkunu,24.53,176.05,0.109,0.372,1.015
Sosyal Medya Tutkunu,25.30,129.86,0.110,0.438,0.958
Sosyal Medya Tutkunu,26.49,151.94,0.125,0.622,0.943
Sosyal Medya Tutkunu,32.80,165.07,0.231,0.519,0.949
Sosyal Medya Tutkunu,26.89,159.56,0.285,0.569,1.013
Sosyal Medya Tutkunu,17.51,188.50,0.150,0.659,1.007
Sosyal Medya Tutkunu,32.73,172.32,0.143,0.624,0.984
Sosyal Medya Tutkunu,25.46,148.47,0.281,0.575,0.878
Sosyal Medya Tutkunu,14.64,169.34,0.288,0.597,0.943
Sosyal Medya Tutkunu,16.91,129.75,0.214,0.407,0.926
Sosyal Medya Tutkunu,24.84,188.57,0.142,0.469,0.931
Sosyal Medya Tutkunu,19.68,162.24,0.321,0.673,1.066
